dataset_family,dataset,condition,analysis_dataset_id,analysis_label,analysis_unit_id,cv_group_id,human_rate,human_yes,human_total,human_count_status,context_count,trigger_logprob_sum,query_logprob_sum,x_but_not_y_applicable,x_but_not_y_logprob_sum,model_revision,cv_fold
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::damp/wet,hu_2023_benchmark::pvt21::damp/wet,0.111111111,,,rate_only,1,-6.448321342468262,-4.260821342468262,True,-1.4623559713363647,453ed1575b739b5b03ce3758b23befdb0967f40e,2
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::dark/black,hu_2023_benchmark::pvt21::dark/black,0.227272727,,,rate_only,1,-2.970214366912842,-4.595214366912842,True,-2.436694860458374,453ed1575b739b5b03ce3758b23befdb0967f40e,3
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::decent/great,hu_2023_benchmark::pvt21::decent/great,0.5,,,rate_only,1,-9.6624174118042,-6.318666934967041,True,-2.534566879272461,453ed1575b739b5b03ce3758b23befdb0967f40e,4
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::dry/arid,hu_2023_benchmark::pvt21::dry/arid,0.137254902,,,rate_only,1,-3.423401355743408,-5.542139455676079,True,-2.526715953834355,453ed1575b739b5b03ce3758b23befdb0967f40e,5
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::elegant/ostentatious,hu_2023_benchmark::pvt21::elegant/ostentatious,0.552631579,,,rate_only,1,-4.408952236175537,-10.073606477119029,True,-3.009127195866313,453ed1575b739b5b03ce3758b23befdb0967f40e,6
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::emotional/sentimental,hu_2023_benchmark::pvt21::emotional/sentimental,0.058823529,,,rate_only,1,-12.050469398498535,-13.366875648498535,True,-3.375562906265259,453ed1575b739b5b03ce3758b23befdb0967f40e,7
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::enjoyable/great,hu_2023_benchmark::pvt21::enjoyable/great,0.135135135,,,rate_only,1,-9.693674087524414,-7.349924564361572,True,-3.2537107467651367,453ed1575b739b5b03ce3758b23befdb0967f40e,8
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::evil/satanic,hu_2023_benchmark::pvt21::evil/satanic,0.25,,,rate_only,1,-10.466270446777344,-10.403685092926024,True,-5.153420269489288,453ed1575b739b5b03ce3758b23befdb0967f40e,9
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::fat/obese,hu_2023_benchmark::pvt21::fat/obese,0.107142857,,,rate_only,1,-8.039543151855469,-9.852043151855469,True,-2.840886354446411,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::funny/hilarious,hu_2023_benchmark::pvt21::funny/hilarious,0.229166667,,,rate_only,1,-7.351241588592529,-7.851241588592529,True,-6.843977928161621,453ed1575b739b5b03ce3758b23befdb0967f40e,1
